car_id,make,model,year,mileage,fuel_type,transmission,engine_power,body_type,price
900471111,Škoda,Superb,2010,210264,Diesel,M,125,S,160000
900490688,Škoda,Superb,2010,293583,Diesel,A,125,S,120000
900483570,Škoda,Octavia,2018,156039,Diesel,A,135,C,350000
900465383,Škoda,Superb,2018,144217,Diesel,A,110,S,380000
900498736,Škoda,Kodiaq,2022,167236,Diesel,A,110,SUV,580000
900484377,Škoda,Octavia Scout,2015,273247,Diesel,A,135,C,200000
900475752,Škoda,Kodiaq,2020,82285,Diesel,A,140,SUV,700000
900470146,Citroen,Jumper,2017,160278,Diesel,M,96,B,290000
900493234,Audi,A5,2007,305258,Diesel,M,176,CPE,130000
900494208,Mercedes-Benz,E,2014,120006,Diesel,A,125,S,360000
900482990,Škoda,Kodiaq,2022,180761,Diesel,A,147,SUV,710000
900498449,Škoda,Karoq,2020,121285,Diesel,A,110,SUV,620000
900484380,Volkswagen,Passat,2016,158284,Diesel,A,140,C,380000
900486595,Škoda,Octavia,2019,186612,Diesel,A,85,C,330000
900483984,Škoda,Octavia,2020,150402,Benzín,M,110,C,420000
900495607,Tesla,Model 3,2019,117366,Battery EV (BEV)Čistě bateriový vůz s tichým provozem a nulovými lokálními emisemi.Elektro (BEV),A,239,S,530000
900495973,Tesla,Model 3,2020,72945,Battery EV (BEV)Čistě bateriový vůz s tichým provozem a nulovými lokálními emisemi.Elektro (BEV),A,366,S,700000
900495134,BMW,4 Gran Coupe,2015,151630,Diesel,A,140,S,400000
900485821,Land Rover,Discovery,2014,189001,Diesel,A,188,SUV,410000
900495091,Lexus,NX,2017,196277,"Full-Hybrid (FHEV)Schopný čistě elektrické jízdy. Na elektřinu parkuje a popojíždí, případně ujede jednotky kilometrů a pomáhá při akceleraci. Šetří brzdy rekuperací, nemá možnost dobíjení u nabíječky elektromobilů.Benzín + Full-Hybrid",A,145,SUV,500000
900481376,Opel,Zafira,2015,116359,Diesel,A,96,MPV,200000
900489837,Volvo,XC90,2016,232385,Diesel,A,173,SUV,480000
900458459,Mercedes-Benz,GLE,2016,204306,Diesel,A,190,SUV,615000
900433382,Volvo,V90,2017,132145,Diesel,A,173,C,580000
900488201,Mitsubishi,ASX,2012,156719,Benzín,M,86,SUV,115000
900497631,Volkswagen,Passat CC,2008,278644,Benzín,A,220,S,150000
900494687,Hyundai,i10,2009,75762,Benzín,A,49,H,95000
900477103,Mazda,CX-5,2012,184870,Diesel,A,110,SUV,180000
900484752,Ford,Mondeo,2014,178180,Diesel,A,120,H,160000
900491229,Volkswagen,Amarok,2011,270006,Diesel,M,120,OFF,190000
900490556,Škoda,Yeti,2012,261268,Diesel,M,81,SUV,110000
900485343,Volkswagen,Golf Plus,2007,189696,Benzín,M,103,MPV,70000
900494884,Suzuki,Grand Vitara,2006,212461,Diesel,M,95,SUV,90000
900473098,Peugeot,Expert,2021,79017,Diesel,M,106,B,580000
900492540,Citroen,C4,2011,128929,Benzín,M,88,H,110000
900497608,Škoda,Fabia,2005,270338,Diesel,M,96,H,110000
900500481,Škoda,Rapid Spaceback,2014,75235,Benzín,M,63,H,190000
900475684,Škoda,Octavia,2013,116883,Benzín,M,63,H,170000
900480094,Volkswagen,Golf,2015,132825,Diesel,M,81,C,215000
900502125,Ford,Focus,2016,133866,Diesel,M,88,C,200000
900482585,Mercedes-Benz,E,2010,211556,Benzín,A,215,CPE,230000
900448618,Citroen,C4 SpaceTourer,2019,102846,Diesel,M,96,MPV,300000
900472518,Cupra,Leon,2023,22587,Benzín,A,110,C,640000
900476442,Bentley,Continental,2006,90880,Benzín,A,412,S,760000
900499164,Alfa Romeo,Tonale,2022,10788,Benzín,A,96,SUV,750000
900432831,Hyundai,Tucson,2018,98844,Diesel,A,136,SUV,400000
900490269,Škoda,Kodiaq,2022,37253,Benzín,A,180,SUV,1000000
900497232,Škoda,Superb,2014,192314,Diesel,M,103,C,250000
900506916,Audi,A6,2013,153466,Diesel,A,150,S,380000
