car_id,make,model,year,mileage,fuel_type,transmission,engine_power,body_type,price
686323544,Skoda,Karoq,2019,97362,Benzín,M,110,SUV,438000
167415445,Volkswagen,Arteon,2018,96110,Benzín,A,110,S,445000
336318509,Volkswagen,Touran,2011,200450,Benzín,M,103,MPV,155000
907417547,Hyundai,I30,2013,156592,Benzín,M,88,C,150000
275317097,Citroen,C4 Grand Picasso,2014,166654,Diesel,M,110,MPV,260000
324316309,Peugeot,508,2016,137407,Diesel,M,110,C,240000
715323147,Mini,Countryman,2014,87681,Diesel,A,105,H,288000
495317424,Ford,Focus,2013,117203,Benzín,M,184,C,318000
145417269,Volkswagen,Tiguan,2014,136879,Benzín,M,118,SUV,300000
786417358,Skoda,Fabia,2021,46375,Benzín,M,70,C,250000
757301673,Land Rover,Evoque,2016,119946,Diesel,M,132,SUV,437000
781316981,Opel,Grandland X,2019,87242,Diesel,A,130,SUV,445000
785321178,Audi,A3,2009,115079,Benzín,M,92,H,155000
785317185,Opel,Meriva,2011,122076,Diesel,M,96,MPV,150000
255324102,Skoda,Octavia,2019,237205,Diesel,M,110,C,260000
201417886,Skoda,Octavia,2013,183274,Diesel,M,110,C,240000
871322063,Volkswagen,Tiguan,2012,175357,Diesel,A,103,SUV,288000
915316468,Renault,Kadjar,2017,122629,Diesel,M,96,SUV,317000
296418396,Volkswagen,Passat,2015,99701,Diesel,M,88,C,300000
519322828,Skoda,Kodiaq,2018,296330,Diesel,A,110,SUV,437000
655323439,Skoda,Octavia,2020,129283,Benzín,M,110,S,445000
890320965,Mazda,3,2012,139467,Diesel,M,85,H,155000
671318044,Mercedes Benz,Clk,2008,175817,Benzín,A,135,CPE,150000
685417016,Peugeot,Expert,2012,243561,Diesel,M,120,B,260000
285322204,Fiat,Doblo Cargo,2019,97926,Diesel,M,77,,239600
788319685,Fiat,Doblo,2016,94421,Diesel,M,88,MPV,288000
820319958,Skoda,Octavia,2019,129232,Benzín,M,110,S,317000
227418491,Opel,Crossland X,2019,99613,Benzín,A,81,SUV,300000
585416299,Skoda,Yeti,2013,145188,Diesel,M,103,SUV,250000
430321922,Jeep,Compass,2017,82084,Diesel,A,103,SUV,437000
835323459,Renault,Megane,2024,2504,Benzín,M,103,S,445000
195418993,Renault,Clio,2013,93784,Benzín,M,54,H,155000
658322741,Dacia,Duster,2011,145972,Benzín,M,77,SUV,150000
115417266,Skoda,Octavia,2015,173429,Diesel,M,110,C,260000
186320494,Renault,Megane,2018,154241,Diesel,M,85,C,239000
100320886,Volkswagen,Tiguan,2013,181452,Diesel,A,130,SUV,285000
268320704,Skoda,Superb,2016,171422,Diesel,M,88,C,316000
290418801,Audi,A3,2017,132639,Diesel,M,81,S,300000
439313834,Ford,Transit Custom,2021,115637,Diesel,M,77,V,435600
781322976,Peugeot,3008,2019,97958,Diesel,A,96,MPV,445000
696415397,Seat,Toledo,2014,137898,Benzín,M,63,S,155000
844324360,Ford,Mondeo,2010,169517,Diesel,M,129,C,150000
194418185,Volkswagen,Tiguan,2013,112960,Benzín,M,90,SUV,260000
650315945,Skoda,Octavia,2017,164885,Diesel,M,85,C,239000
811418953,Renault,Kadjar,2015,138400,Diesel,M,96,SUV,285000
675315449,Dacia,Duster,2020,93880,,M,74,SUV,315000
287318602,Hyundai,I30,2018,106078,Benzín,M,103,C,300000
226418389,Seat,Alhambra,2011,229393,Diesel,M,103,MPV,250000
784416139,Fiat,Talento,2020,57729,Diesel,M,107,V,435600
101319986,Renault,Trafic,2020,55374,Diesel,M,88,V,441700
405418006,Skoda,Citigo,2013,82976,Benzín,M,50,H,155000
361418908,Dacia,Logan,2018,50756,Benzín,M,54,S,150000
300322906,Opel,Crossland X,2019,92887,Benzín,M,81,SUV,260000
780323881,Hyundai,I30,2016,71233,Benzín,M,88,C,239000
536416393,Ford,Kuga,2013,128201,Diesel,A,120,SUV,285000
